number_of_game,winner,cur_reward,avg100_reward,avgall_reward,epsilon
489,0,6650,1905.0,1884.3877551020407,0.9642000000000039
490,3,750,1902.5,1882.0773930753564,0.964000000000004
491,2,-450,1900.0,1877.3373983739837,0.963800000000004
492,3,1000,1903.0,1875.5578093306287,0.963600000000004
493,1,-450,1897.0,1870.8502024291497,0.963400000000004
494,3,-250,1825.5,1866.5656565656566,0.963200000000004
495,3,550,1829.5,1863.9112903225807,0.9630000000000041
496,0,7000,1830.5,1874.2454728370221,0.9628000000000041
497,1,550,1829.0,1871.5863453815261,0.9626000000000041
498,1,100,1832.0,1868.0360721442885,0.9624000000000041
499,0,7250,1834.0,1878.8,0.9622000000000042
500,2,750,1775.0,1876.5469061876247,0.9620000000000042
501,1,950,1784.5,1874.7011952191235,0.9618000000000042
502,1,500,1782.0,1871.9681908548707,0.9616000000000042
503,1,750,1787.0,1869.7420634920634,0.9614000000000043
504,0,6300,1780.0,1878.5148514851485,0.9612000000000043
505,0,6900,1777.0,1888.4387351778655,0.9610000000000043
506,2,500,1772.5,1885.7001972386588,0.9608000000000043
507,2,800,1775.5,1883.5629921259842,0.9606000000000043
508,3,350,1771.5,1880.5500982318272,0.9604000000000044
509,3,350,1774.5,1877.549019607843,0.9602000000000044
510,2,550,1716.5,1874.9510763209394,0.9600000000000044
511,0,6900,1772.5,1884.765625,0.9598000000000044
512,0,7900,1785.5,1896.4912280701753,0.9596000000000044
513,2,-250,1785.0,1892.3151750972763,0.9594000000000045
514,1,1250,1736.0,1891.0679611650485,0.9592000000000045
515,2,300,1739.5,1887.984496124031,0.9590000000000045
516,0,7100,1802.0,1898.065764023211,0.9588000000000045
517,2,1850,1813.0,1897.972972972973,0.9586000000000046
518,3,-50,1810.0,1894.2196531791908,0.9584000000000046
519,1,950,1756.0,1892.4038461538462,0.9582000000000046
520,1,600,1692.5,1889.9232245681383,0.9580000000000046
521,2,800,1706.5,1887.8352490421455,0.9578000000000046
522,2,450,1703.0,1885.0860420650095,0.9576000000000047
523,3,600,1702.0,1882.6335877862596,0.9574000000000047
524,2,-50,1701.0,1878.952380952381,0.9572000000000047
525,3,100,1689.5,1875.5703422053232,0.9570000000000047
526,1,550,1626.0,1873.055028462998,0.9568000000000048
527,2,850,1626.0,1871.1174242424242,0.9566000000000048
528,2,1150,1564.0,1869.7542533081285,0.9564000000000048
529,0,7550,1638.0,1880.4716981132076,0.9562000000000048
530,2,850,1641.5,1878.5310734463276,0.9560000000000048
531,1,750,1632.0,1876.4097744360902,0.9558000000000049
532,3,300,1627.5,1873.452157598499,0.9556000000000049
533,2,750,1631.0,1871.3483146067415,0.9554000000000049
534,3,700,1625.5,1869.1588785046729,0.9552000000000049
535,3,800,1618.0,1867.1641791044776,0.955000000000005
536,1,200,1621.5,1864.0595903165736,0.954800000000005
537,0,6850,1682.5,1873.3271375464683,0.954600000000005
538,0,7750,1745.0,1884.2300556586272,0.954400000000005
539,0,7050,1802.5,1893.7962962962963,0.954200000000005
